"soil";"prof_super";"prof_infer";"bd";"oc";"ph";"clay";"silt";"sand";"crs_name";"crs_code";"X";"Y"
"FildesLV40";0;10;NA;NA;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2712536,509;1635206,085
"FildesLV41";0;10;NA;NA;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2711783,595;1632517,148
"FildesLV42";0;10;NA;NA;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2712135,039;1632473,25
"FildesLV43";0;10;NA;NA;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2712156,78;1632970,824
"FildesLV44";0;10;NA;NA;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2712109,752;1632683,048
"FildesZ01";0;30;NA;1,43;4,71;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2712376,167;1629625,371
"FildesZ02";0;30;NA;0,22;6,7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2712435,698;1630025,554
"HalfMoon01";10;20;NA;7,94;4,99;2,6;2,3;95,1;"south pole stereographic";"ESRI:102021";-2699153,241;1564139,106
"HalfMoon01";0;10;NA;9,08;4,98;2,3;2,6;95,19;"south pole stereographic";"ESRI:102021";-2699153,241;1564139,106
"HalfMoon02";0;20;NA;12,59;6,48;2,5;2,63;94,92;"south pole stereographic";"ESRI:102021";-2699189,805;1564084,512
"HalfMoon03";10;20;NA;6,81;5,78;2,6;2,6;94,8;"south pole stereographic";"ESRI:102021";-2699166,449;1564093,45
"HalfMoon03";0;10;NA;10,02;5,1;2,5;3;94,6;"south pole stereographic";"ESRI:102021";-2699166,449;1564093,45
"HalfMoon04";10;20;NA;3,97;5,48;3,4;5,4;91,2;"south pole stereographic";"ESRI:102021";-2699336,23;1563006,519
"HalfMoon04";0;10;NA;4,68;5,05;11,6;11,2;77,2;"south pole stereographic";"ESRI:102021";-2699336,23;1563006,519
"HalfMoon05";10;20;NA;4,16;5,9;3,2;4,5;92,3;"south pole stereographic";"ESRI:102021";-2699327,495;1563072,665
"HalfMoon05";0;10;NA;5,67;5;2,5;2,4;95,1;"south pole stereographic";"ESRI:102021";-2699327,495;1563072,665
"HalfMoon06";20;30;NA;0,3;5,74;6,7;10,1;83,2;"south pole stereographic";"ESRI:102021";-2699283,917;1563012,75
"HalfMoon06";0;10;NA;0,45;5,91;3,5;3,1;93,4;"south pole stereographic";"ESRI:102021";-2699283,917;1563012,75
"HalfMoon06";10;20;NA;1,14;5,25;4,1;7,1;88,8;"south pole stereographic";"ESRI:102021";-2699283,917;1563012,75
"HalfMoon07";7;14;NA;3,56;4,99;5,2;7,1;87,7;"south pole stereographic";"ESRI:102021";-2698365,808;1562966,967
"HalfMoon07";0;7;NA;6,43;4,75;2,9;3;94,1;"south pole stereographic";"ESRI:102021";-2698365,808;1562966,967
"HalfMoon08";25;37;NA;2,47;5,14;2,1;2,9;95,05;"south pole stereographic";"ESRI:102021";-2699353,823;1563701,3
"HalfMoon08";10;25;NA;3,4;5,27;2,2;3,4;94,5;"south pole stereographic";"ESRI:102021";-2699353,823;1563701,3
"HalfMoon08";0;10;NA;3,4;5,46;1,7;1,5;96,9;"south pole stereographic";"ESRI:102021";-2699353,823;1563701,3
"HalfMoon09";20;25;NA;2,27;5,95;2;2,4;95,6;"south pole stereographic";"ESRI:102021";-2699204,223;1563617,946
"HalfMoon09";0;10;NA;2,46;5,2;2;1,8;96,2;"south pole stereographic";"ESRI:102021";-2699204,223;1563617,946
"HalfMoon09";10;20;NA;2,84;5,79;2,1;2,1;95,8;"south pole stereographic";"ESRI:102021";-2699204,223;1563617,946
"HalfMoon10";60;80;NA;0,7;6,06;8,3;16;75,7;"south pole stereographic";"ESRI:102021";-2699356,042;1563638,526
"HalfMoon10";40;60;NA;1,06;5,1;2,4;1,4;96,1;"south pole stereographic";"ESRI:102021";-2699356,042;1563638,526
"HalfMoon10";25;40;NA;2,1;5,73;2,08;2,78;95,19;"south pole stereographic";"ESRI:102021";-2699356,042;1563638,526
"HalfMoon10";0;25;NA;2,85;5,49;2,05;2,65;95,33;"south pole stereographic";"ESRI:102021";-2699356,042;1563638,526
"HalfMoon11";0;12;NA;2,46;5,19;1,6;1,2;97,1;"south pole stereographic";"ESRI:102021";-2699211,851;1563493,186
"HalfMoon11";22;28;NA;3,4;5,94;2,1;3,1;94,8;"south pole stereographic";"ESRI:102021";-2699211,851;1563493,186
"HalfMoon11";12;22;NA;4,54;6;3;9,1;87,9;"south pole stereographic";"ESRI:102021";-2699211,851;1563493,186
"HalfMoon12";12;23;NA;0;4,95;5,57;15,17;79,27;"south pole stereographic";"ESRI:102021";-2697801,534;1563955,262
"HalfMoon12";23;30;NA;0;4,46;4,3;11,57;84,12;"south pole stereographic";"ESRI:102021";-2697801,534;1563955,262
"HalfMoon12";0;2;NA;0,07;7,82;3;7,4;89,55;"south pole stereographic";"ESRI:102021";-2697801,534;1563955,262
"HalfMoon12";2;12;NA;0,09;7,13;4,34;12,14;83,53;"south pole stereographic";"ESRI:102021";-2697801,534;1563955,262
"HalfMoon13";0;15;NA;0,84;5,77;3,45;8,98;87,54;"south pole stereographic";"ESRI:102021";-2697785,376;1563886,608
"HalfMoon14";23;27;NA;0,4;5,15;3,95;11,93;84,1;"south pole stereographic";"ESRI:102021";-2697779,918;1563785,901
"HalfMoon14";6;23;NA;0,95;5,42;5,59;18,97;75,44;"south pole stereographic";"ESRI:102021";-2697779,918;1563785,901
"HalfMoon14";0;6;NA;1,7;5,53;3,1;6,13;90,77;"south pole stereographic";"ESRI:102021";-2697779,918;1563785,901
"HalfMoon15";0;7;NA;0,2;6,72;4,4;13,6;82;"south pole stereographic";"ESRI:102021";-2698946,095;1563155,342
"HalfMoon15";7;15;NA;0,39;7,21;4,5;23,9;71,6;"south pole stereographic";"ESRI:102021";-2698946,095;1563155,342
"HalfMoon15";15;25;NA;0,93;7,06;10,2;33,7;56,1;"south pole stereographic";"ESRI:102021";-2698946,095;1563155,342
"HalfMoon16";0;10;NA;1,06;5,16;2,67;5,53;91,77;"south pole stereographic";"ESRI:102021";-2698103,166;1563101,324
"HalfMoon16";20;43;NA;1,75;3,86;2,9;9,8;87,3;"south pole stereographic";"ESRI:102021";-2698103,166;1563101,324
